text,label,category
"In the novel, Arjun is diagnosed with diabetes after fainting at school.",0,fictional
"The movie follows a pilot named Lena who manages severe asthma.",0,fictional
"In my short story, the king develops painful arthritis.",0,fictional
"The fictional detective needs dialysis while solving the case.",0,fictional
"In the play, Meera learns that her thyroid is underactive.",0,fictional
"The novel's main character is treated for anemia.",0,fictional
"In this screenplay, a musician hides an epilepsy diagnosis.",0,fictional
"The comic-book hero develops psoriasis after a laboratory accident.",0,fictional
"In the story, the mayor struggles to control high blood pressure.",0,fictional
"The television character has an irregular heartbeat.",0,fictional
"In my fictional scene, the chef has a dangerous nut allergy.",0,fictional
"The fantasy prince is treated for mysterious gallstones.",0,fictional
"In the novel, a dancer discusses living with endometriosis.",0,fictional
"The game character collects herbs to cure a vitamin deficiency.",0,fictional
"In this poem, a sailor describes a blinding migraine.",0,fictional
"The fictional village doctor treats an outbreak of pneumonia.",0,fictional
"In the series, a lawyer uses a machine for sleep apnea.",0,fictional
"The book's narrator gives a character chronic acid reflux.",0,fictional
"In my animation, a child has magical patches resembling eczema.",0,fictional
"The crime novel reveals that the victim had skin cancer.",0,fictional
"In the script, a student character talks about PCOS.",0,fictional
"The fictional baker learns to avoid gluten because of celiac disease.",0,fictional
"In the radio drama, an elderly character develops glaucoma.",0,fictional
"The story is about a traveler who catches dengue on an imaginary island.",0,fictional
"In the game, the warrior recovers from a herniated disc.",0,fictional
"An anonymous survey participant reported taking insulin.",0,anonymized
"One de-identified hospital record mentioned severe asthma.",0,anonymized
"A masked research response described long-term joint pain.",0,anonymized
"An unnamed case in the dataset involved kidney treatment.",0,anonymized
"A de-identified patient record contained an abnormal thyroid result.",0,anonymized
"One anonymous respondent reported low iron levels.",0,anonymized
"A coded study entry indicated a history of seizures.",0,anonymized
"An anonymized clinic note described recurring skin plaques.",0,anonymized
"One unidentified participant recorded high blood pressure.",0,anonymized
"A de-identified ECG sample showed an irregular rhythm.",0,anonymized
"An anonymous questionnaire mentioned a food allergy.",0,anonymized
"A masked record in the study noted gallbladder stones.",0,anonymized
"One unnamed interviewee discussed pelvic pain.",0,anonymized
"A de-identified nutrition record showed low vitamin levels.",0,anonymized
"An anonymous diary entry in the research set described migraines.",0,anonymized
"A coded hospital case involved bacterial pneumonia.",0,anonymized
"One unidentified sleep-study record showed breathing interruptions.",0,anonymized
"An anonymized survey answer mentioned frequent heartburn.",0,anonymized
"A de-identified dermatology image was labeled as eczema.",0,anonymized
"One masked pathology record contained a cancer finding.",0,anonymized
"An anonymous health survey included reproductive symptoms.",0,anonymized
"A coded laboratory sample was associated with gluten sensitivity.",0,anonymized
"An unidentified screening record showed raised eye pressure.",0,anonymized
"One de-identified case report described dengue recovery.",0,anonymized
"An anonymous rehabilitation log mentioned lower-back pain.",0,anonymized
"The hospital opens its outpatient department at eight o'clock.",0,healthcare_general
"Please explain how to book a routine medical appointment.",0,healthcare_general
"The pharmacy closes earlier on public holidays.",0,healthcare_general
"Doctors use electronic records to organize patient visits.",0,healthcare_general
"The new clinic has ramps and accessible entrances.",0,healthcare_general
"Where can visitors park near the medical center?",0,healthcare_general
"The health insurance form is available on the website.",0,healthcare_general
"Nurses attended a workshop on hospital communication.",0,healthcare_general
"The laboratory processes routine samples from Monday to Saturday.",0,healthcare_general
"The ambulance service introduced a new contact number.",0,healthcare_general
"Medical students are learning how to take a patient history.",0,healthcare_general
"The hospital cafeteria added more vegetarian meals.",0,healthcare_general
"A prescription normally includes the medicine name and dosage.",0,healthcare_general
"The clinic upgraded its appointment reminder system.",0,healthcare_general
"The medical library received several new textbooks.",0,healthcare_general
"Visitors must wear an identification badge inside the ward.",0,healthcare_general
"The community center is hosting a first-aid class.",0,healthcare_general
"The blood donation camp begins at nine in the morning.",0,healthcare_general
"The hospital hired additional reception staff.",0,healthcare_general
"A pharmacist can explain how medicine labels are written.",0,healthcare_general
"The university added a course on healthcare ethics.",0,healthcare_general
"The clinic website lists the available departments.",0,healthcare_general
"The waiting room now has a digital token display.",0,healthcare_general
"The medical conference starts next Friday.",0,healthcare_general
"The health center accepts appointments by phone.",0,healthcare_general
"I submitted my software assignment before the deadline.",0,unrelated
"My sister bought a blue bicycle yesterday.",0,unrelated
"We are planning a trip to the mountains.",0,unrelated
"My father enjoys reading history books.",0,unrelated
"I have a meeting with the design team at noon.",0,unrelated
"The weather is cooler than it was last week.",0,unrelated
"My roommate cooked pasta for dinner.",0,unrelated
"I am learning Python for a college project.",0,unrelated
"Our train leaves from platform six.",0,unrelated
"The football match ended in a draw.",0,unrelated
"My phone battery needs to be replaced.",0,unrelated
"She is preparing slides for tomorrow's presentation.",0,unrelated
"We adopted a small dog from the shelter.",0,unrelated
"The library has extended its opening hours.",0,unrelated
"I ordered a keyboard from an online store.",0,unrelated
"My cousin is studying mechanical engineering.",0,unrelated
"The garden needs water because the soil is dry.",0,unrelated
"I forgot to charge my laptop last night.",0,unrelated
"The class elected a new student representative.",0,unrelated
"My mother is watching a cooking program.",0,unrelated
"We moved the chairs into the conference room.",0,unrelated
"The bus was delayed by heavy traffic.",0,unrelated
"I am comparing prices for a new monitor.",0,unrelated
"Our team finished the prototype this afternoon.",0,unrelated
"He has two interviews scheduled for Monday.",0,unrelated
"Wash hands regularly to reduce the spread of infections.",0,public_advice
"Seek urgent medical help when breathing becomes severely difficult.",0,public_advice
"Balanced meals can support general health and energy.",0,public_advice
"Regular exercise can help maintain cardiovascular fitness.",0,public_advice
"Vaccination programs protect communities from preventable disease.",0,public_advice
"A persistent unexplained symptom should be discussed with a clinician.",0,public_advice
"Do not share prescription medicine with another person.",0,public_advice
"Read the dosage instructions before taking any medicine.",0,public_advice
"Emergency services should be contacted for signs of a stroke.",0,public_advice
"Using sunscreen can reduce damage from ultraviolet light.",0,public_advice
"Clean drinking water helps prevent many intestinal infections.",0,public_advice
"Routine screening can identify some conditions at an earlier stage.",0,public_advice
"Adequate sleep supports concentration and emotional well-being.",0,public_advice
"Mosquito nets can reduce the risk of mosquito-borne illness.",0,public_advice
"Antibiotics should only be used as directed by a qualified professional.",0,public_advice
"A first-aid kit should be checked and restocked regularly.",0,public_advice
"Protective equipment can reduce injuries during contact sports.",0,public_advice
"Food labels can help people avoid ingredients that trigger allergies.",0,public_advice
"Mental health concerns deserve the same care as physical symptoms.",0,public_advice
"Health information should be shared only through secure channels.",0,public_advice
"Medical advice from social media should be checked with reliable sources.",0,public_advice
"Staying hydrated is important during hot weather.",0,public_advice
"Regular breaks can reduce eye strain during computer work.",0,public_advice
"Hearing protection is useful around very loud machinery.",0,public_advice
"A qualified clinician should interpret diagnostic test results.",0,public_advice
